REF_AREA,TIME_PERIOD,OBS_VALUE,indic_bt,variable
FR,2022-Q1,63.5,BKRT,eurostat_bankruptcies_index
FR,2022-Q2,63.1,BKRT,eurostat_bankruptcies_index
FR,2022-Q3,58.9,BKRT,eurostat_bankruptcies_index
FR,2022-Q4,75.6,BKRT,eurostat_bankruptcies_index
FR,2023-Q1,93.2,BKRT,eurostat_bankruptcies_index
FR,2023-Q2,85.8,BKRT,eurostat_bankruptcies_index
FR,2023-Q3,74.1,BKRT,eurostat_bankruptcies_index
FR,2023-Q4,103.4,BKRT,eurostat_bankruptcies_index
IT,2015-Q1,103.1,BKRT,eurostat_bankruptcies_index
IT,2015-Q2,104.3,BKRT,eurostat_bankruptcies_index
IT,2015-Q3,81.3,BKRT,eurostat_bankruptcies_index
IT,2015-Q4,111.3,BKRT,eurostat_bankruptcies_index
IT,2016-Q1,97.5,BKRT,eurostat_bankruptcies_index
IT,2016-Q2,101.1,BKRT,eurostat_bankruptcies_index
IT,2016-Q3,72.9,BKRT,eurostat_bankruptcies_index
IT,2016-Q4,92.5,BKRT,eurostat_bankruptcies_index
IT,2017-Q1,82.7,BKRT,eurostat_bankruptcies_index
IT,2017-Q2,86.1,BKRT,eurostat_bankruptcies_index
IT,2017-Q3,66.9,BKRT,eurostat_bankruptcies_index
IT,2017-Q4,88.5,BKRT,eurostat_bankruptcies_index
IT,2018-Q1,80.1,BKRT,eurostat_bankruptcies_index
IT,2018-Q2,80.7,BKRT,eurostat_bankruptcies_index
IT,2018-Q3,59.3,BKRT,eurostat_bankruptcies_index
IT,2018-Q4,83.1,BKRT,eurostat_bankruptcies_index
IT,2019-Q1,77.3,BKRT,eurostat_bankruptcies_index
IT,2019-Q2,76.7,BKRT,eurostat_bankruptcies_index
IT,2019-Q3,62.9,BKRT,eurostat_bankruptcies_index
IT,2019-Q4,84.9,BKRT,eurostat_bankruptcies_index
IT,2020-Q1,62.0,BKRT,eurostat_bankruptcies_index
IT,2020-Q2,21.8,BKRT,eurostat_bankruptcies_index
IT,2020-Q3,43.5,BKRT,eurostat_bankruptcies_index
IT,2020-Q4,78.8,BKRT,eurostat_bankruptcies_index
IT,2021-Q1,68.8,BKRT,eurostat_bankruptcies_index
IT,2021-Q2,64.6,BKRT,eurostat_bankruptcies_index
IT,2021-Q3,48.7,BKRT,eurostat_bankruptcies_index
IT,2021-Q4,62.0,BKRT,eurostat_bankruptcies_index
IT,2022-Q1,53.3,BKRT,eurostat_bankruptcies_index
IT,2022-Q2,55.1,BKRT,eurostat_bankruptcies_index
IT,2022-Q3,38.7,BKRT,eurostat_bankruptcies_index
IT,2022-Q4,47.4,BKRT,eurostat_bankruptcies_index
IT,2023-Q1,50.5,BKRT,eurostat_bankruptcies_index
IT,2023-Q2,55.3,BKRT,eurostat_bankruptcies_index
IT,2023-Q3,43.1,BKRT,eurostat_bankruptcies_index
IT,2023-Q4,59.3,BKRT,eurostat_bankruptcies_index
NL,2015-Q1,120.1,BKRT,eurostat_bankruptcies_index
NL,2015-Q2,98.6,BKRT,eurostat_bankruptcies_index
NL,2015-Q3,86.1,BKRT,eurostat_bankruptcies_index
NL,2015-Q4,95.2,BKRT,eurostat_bankruptcies_index
NL,2016-Q1,95.9,BKRT,eurostat_bankruptcies_index
NL,2016-Q2,84.8,BKRT,eurostat_bankruptcies_index
NL,2016-Q3,73.5,BKRT,eurostat_bankruptcies_index
NL,2016-Q4,79.6,BKRT,eurostat_bankruptcies_index
NL,2017-Q1,74.7,BKRT,eurostat_bankruptcies_index
NL,2017-Q2,66.7,BKRT,eurostat_bankruptcies_index
NL,2017-Q3,58.9,BKRT,eurostat_bankruptcies_index
NL,2017-Q4,58.6,BKRT,eurostat_bankruptcies_index
NL,2018-Q1,62.1,BKRT,eurostat_bankruptcies_index
NL,2018-Q2,60.4,BKRT,eurostat_bankruptcies_index
NL,2018-Q3,58.6,BKRT,eurostat_bankruptcies_index
NL,2018-Q4,61.2,BKRT,eurostat_bankruptcies_index
NL,2019-Q1,62.3,BKRT,eurostat_bankruptcies_index
NL,2019-Q2,63.5,BKRT,eurostat_bankruptcies_index
NL,2019-Q3,62.9,BKRT,eurostat_bankruptcies_index
NL,2019-Q4,64.8,BKRT,eurostat_bankruptcies_index
NL,2020-Q1,63.6,BKRT,eurostat_bankruptcies_index
NL,2020-Q2,65.4,BKRT,eurostat_bankruptcies_index
NL,2020-Q3,44.1,BKRT,eurostat_bankruptcies_index
NL,2020-Q4,39.6,BKRT,eurostat_bankruptcies_index
NL,2021-Q1,32.7,BKRT,eurostat_bankruptcies_index
NL,2021-Q2,30.3,BKRT,eurostat_bankruptcies_index
NL,2021-Q3,25.2,BKRT,eurostat_bankruptcies_index
NL,2021-Q4,32.5,BKRT,eurostat_bankruptcies_index
NL,2022-Q1,32.5,BKRT,eurostat_bankruptcies_index
NL,2022-Q2,31.9,BKRT,eurostat_bankruptcies_index
NL,2022-Q3,31.8,BKRT,eurostat_bankruptcies_index
NL,2022-Q4,46.1,BKRT,eurostat_bankruptcies_index
NL,2023-Q1,49.1,BKRT,eurostat_bankruptcies_index
NL,2023-Q2,53.0,BKRT,eurostat_bankruptcies_index
NL,2023-Q3,55.5,BKRT,eurostat_bankruptcies_index
NL,2023-Q4,61.7,BKRT,eurostat_bankruptcies_index
PT,2015-Q1,120.0,BKRT,eurostat_bankruptcies_index
PT,2015-Q2,106.6,BKRT,eurostat_bankruptcies_index
PT,2015-Q3,87.9,BKRT,eurostat_bankruptcies_index
PT,2015-Q4,85.5,BKRT,eurostat_bankruptcies_index
PT,2016-Q1,91.2,BKRT,eurostat_bankruptcies_index
PT,2016-Q2,82.7,BKRT,eurostat_bankruptcies_index
PT,2016-Q3,64.3,BKRT,eurostat_bankruptcies_index
PT,2016-Q4,64.6,BKRT,eurostat_bankruptcies_index
PT,2017-Q1,71.9,BKRT,eurostat_bankruptcies_index
PT,2017-Q2,59.8,BKRT,eurostat_bankruptcies_index
PT,2017-Q3,57.4,BKRT,eurostat_bankruptcies_index
PT,2017-Q4,59.2,BKRT,eurostat_bankruptcies_index
PT,2018-Q1,62.6,BKRT,eurostat_bankruptcies_index
PT,2018-Q2,54.0,BKRT,eurostat_bankruptcies_index
PT,2018-Q3,50.0,BKRT,eurostat_bankruptcies_index
PT,2018-Q4,50.7,BKRT,eurostat_bankruptcies_index
PT,2019-Q1,49.7,BKRT,eurostat_bankruptcies_index
PT,2019-Q2,53.2,BKRT,eurostat_bankruptcies_index
PT,2019-Q3,47.9,BKRT,eurostat_bankruptcies_index
PT,2019-Q4,48.1,BKRT,eurostat_bankruptcies_index
PT,2020-Q1,53.3,BKRT,eurostat_bankruptcies_index
PT,2020-Q2,53.9,BKRT,eurostat_bankruptcies_index
PT,2020-Q3,53.8,BKRT,eurostat_bankruptcies_index
PT,2020-Q4,43.6,BKRT,eurostat_bankruptcies_index
PT,2021-Q1,53.0,BKRT,eurostat_bankruptcies_index
PT,2021-Q2,43.9,BKRT,eurostat_bankruptcies_index
PT,2021-Q3,42.3,BKRT,eurostat_bankruptcies_index
PT,2021-Q4,40.1,BKRT,eurostat_bankruptcies_index
