REF_AREA,TIME_PERIOD,OBS_VALUE,indic_bt,variable
FR,2023-Q1,192.2,REG,eurostat_registrations_index
FR,2023-Q2,176.2,REG,eurostat_registrations_index
FR,2023-Q3,178.8,REG,eurostat_registrations_index
FR,2023-Q4,197.6,REG,eurostat_registrations_index
IE,2015-Q1,141.3,REG,eurostat_registrations_index
IE,2015-Q2,82.5,REG,eurostat_registrations_index
IE,2015-Q3,93.3,REG,eurostat_registrations_index
IE,2015-Q4,82.9,REG,eurostat_registrations_index
IE,2016-Q1,157.3,REG,eurostat_registrations_index
IE,2016-Q2,95.3,REG,eurostat_registrations_index
IE,2016-Q3,95.4,REG,eurostat_registrations_index
IE,2016-Q4,83.3,REG,eurostat_registrations_index
IE,2017-Q1,160.9,REG,eurostat_registrations_index
IE,2017-Q2,99.0,REG,eurostat_registrations_index
IE,2017-Q3,102.5,REG,eurostat_registrations_index
IE,2017-Q4,87.3,REG,eurostat_registrations_index
IE,2018-Q1,165.6,REG,eurostat_registrations_index
IE,2018-Q2,106.4,REG,eurostat_registrations_index
IE,2018-Q3,104.6,REG,eurostat_registrations_index
IE,2018-Q4,91.2,REG,eurostat_registrations_index
IE,2019-Q1,178.2,REG,eurostat_registrations_index
IE,2019-Q2,105.3,REG,eurostat_registrations_index
IE,2019-Q3,104.8,REG,eurostat_registrations_index
IE,2019-Q4,86.4,REG,eurostat_registrations_index
IE,2020-Q1,128.0,REG,eurostat_registrations_index
IE,2020-Q2,61.0,REG,eurostat_registrations_index
IE,2020-Q3,97.9,REG,eurostat_registrations_index
IE,2020-Q4,85.6,REG,eurostat_registrations_index
IE,2021-Q1,109.9,REG,eurostat_registrations_index
IE,2021-Q2,115.1,REG,eurostat_registrations_index
IE,2021-Q3,99.4,REG,eurostat_registrations_index
IE,2021-Q4,84.8,REG,eurostat_registrations_index
IE,2022-Q1,114.4,REG,eurostat_registrations_index
IE,2022-Q2,94.1,REG,eurostat_registrations_index
IE,2022-Q3,90.2,REG,eurostat_registrations_index
IE,2022-Q4,76.2,REG,eurostat_registrations_index
IE,2023-Q1,38.6,REG,eurostat_registrations_index
IE,2023-Q2,102.6,REG,eurostat_registrations_index
IE,2023-Q3,39.2,REG,eurostat_registrations_index
IE,2023-Q4,53.9,REG,eurostat_registrations_index
IT,2015-Q1,123.9,REG,eurostat_registrations_index
IT,2015-Q2,102.8,REG,eurostat_registrations_index
IT,2015-Q3,80.6,REG,eurostat_registrations_index
IT,2015-Q4,92.6,REG,eurostat_registrations_index
IT,2016-Q1,120.4,REG,eurostat_registrations_index
IT,2016-Q2,99.4,REG,eurostat_registrations_index
IT,2016-Q3,72.4,REG,eurostat_registrations_index
IT,2016-Q4,86.4,REG,eurostat_registrations_index
IT,2017-Q1,114.5,REG,eurostat_registrations_index
IT,2017-Q2,93.8,REG,eurostat_registrations_index
IT,2017-Q3,72.2,REG,eurostat_registrations_index
IT,2017-Q4,86.4,REG,eurostat_registrations_index
IT,2018-Q1,116.1,REG,eurostat_registrations_index
IT,2018-Q2,94.0,REG,eurostat_registrations_index
IT,2018-Q3,69.0,REG,eurostat_registrations_index
IT,2018-Q4,84.2,REG,eurostat_registrations_index
IT,2019-Q1,120.1,REG,eurostat_registrations_index
IT,2019-Q2,97.9,REG,eurostat_registrations_index
IT,2019-Q3,72.9,REG,eurostat_registrations_index
IT,2019-Q4,87.8,REG,eurostat_registrations_index
IT,2020-Q1,102.4,REG,eurostat_registrations_index
IT,2020-Q2,59.2,REG,eurostat_registrations_index
IT,2020-Q3,71.8,REG,eurostat_registrations_index
IT,2020-Q4,77.2,REG,eurostat_registrations_index
IT,2021-Q1,108.3,REG,eurostat_registrations_index
IT,2021-Q2,93.9,REG,eurostat_registrations_index
IT,2021-Q3,68.4,REG,eurostat_registrations_index
IT,2021-Q4,85.3,REG,eurostat_registrations_index
IT,2022-Q1,108.5,REG,eurostat_registrations_index
IT,2022-Q2,87.3,REG,eurostat_registrations_index
IT,2022-Q3,63.9,REG,eurostat_registrations_index
IT,2022-Q4,76.2,REG,eurostat_registrations_index
IT,2023-Q1,109.8,REG,eurostat_registrations_index
IT,2023-Q2,85.9,REG,eurostat_registrations_index
IT,2023-Q3,66.0,REG,eurostat_registrations_index
IT,2023-Q4,78.5,REG,eurostat_registrations_index
NL,2015-Q1,93.6,REG,eurostat_registrations_index
NL,2015-Q2,104.1,REG,eurostat_registrations_index
NL,2015-Q3,107.1,REG,eurostat_registrations_index
NL,2015-Q4,95.1,REG,eurostat_registrations_index
NL,2016-Q1,99.4,REG,eurostat_registrations_index
