origin_period_sort,origin_period,model_key,model_label,n_test,mae,rmse,features_used,model_family,mae_improvement_vs_naive,mae_improvement_vs_strongest_baseline,beats_naive,beats_strongest_baseline
20221,2022-S1,naive,Naive current value,12,0.31272955522477963,0.3783451087031598,1,baseline,0.0,-0.028684891544922875,False,False
20221,2022-S1,country_mean,Country historical mean,12,0.46704172342421574,0.5632882414924234,1,baseline,-0.1543121681994361,-0.18299705974435898,False,False
20221,2022-S1,country_ar1,Country AR(1),12,0.4294386018823751,0.49361340609686494,1,baseline,-0.11670904665759546,-0.14539393820251834,False,False
20221,2022-S1,momentum,Last-change extrapolation,12,0.45379166799448517,0.5495380778377055,1,baseline,-0.14106211276970554,-0.1697470043146284,False,False
20221,2022-S1,pooled_lag_ols,Pooled lag OLS,12,0.28404466367985676,0.3144243821358174,20,baseline,0.028684891544922875,0.0,True,False
20221,2022-S1,elastic_net,Elastic Net,12,0.27961325925070685,0.31737577065387357,178,machine learning,0.033116295974072785,0.00443140442914991,True,True
20221,2022-S1,ridge,Ridge,12,0.21923605077482358,0.2888317038257435,178,machine learning,0.09349350444995605,0.06480861290503317,True,True
20221,2022-S1,random_forest,Random Forest,12,0.34090811266383864,0.41693964237096093,178,machine learning,-0.028178557439059004,-0.05686344898398188,False,False
20221,2022-S1,gradient_boosting,Gradient Boosting,12,0.30139699672558556,0.36134685601635685,178,machine learning,0.011332558499194068,-0.017352333045728807,True,False
20222,2022-S2,naive,Naive current value,12,0.27929369558463574,0.3550474956249381,1,baseline,0.0,-0.012568544411988236,False,False
20222,2022-S2,country_mean,Country historical mean,12,0.6204730460972246,0.7481494753061531,1,baseline,-0.3411793505125889,-0.35374789492457714,False,False
20222,2022-S2,country_ar1,Country AR(1),12,0.3974705355612711,0.5196239173174122,1,baseline,-0.11817683997663536,-0.1307453843886236,False,False
20222,2022-S2,momentum,Last-change extrapolation,12,0.45233073560083925,0.5211104200220785,1,baseline,-0.1730370400162035,-0.18560558442819175,False,False
20222,2022-S2,pooled_lag_ols,Pooled lag OLS,12,0.2667251511726475,0.348484907517123,20,baseline,0.012568544411988236,0.0,True,False
20222,2022-S2,elastic_net,Elastic Net,12,0.3017644747571339,0.3883617226575213,178,machine learning,-0.02247077917249818,-0.035039323584486415,False,False
20222,2022-S2,ridge,Ridge,12,0.3900631882579169,0.46463265873836307,178,machine learning,-0.11076949267328118,-0.12333803708526941,False,False
20222,2022-S2,random_forest,Random Forest,12,0.3214964711447864,0.40736280767370253,178,machine learning,-0.042202775560150674,-0.05477131997213891,False,False
20222,2022-S2,gradient_boosting,Gradient Boosting,12,0.3113685362629318,0.3925032219126485,178,machine learning,-0.03207484067829608,-0.044643385090284315,False,False
20231,2023-S1,naive,Naive current value,12,0.27257918507719986,0.372633553939363,1,baseline,0.0,-0.014634969715392243,False,False
20231,2023-S1,country_mean,Country historical mean,12,0.470189507456495,0.548608065146883,1,baseline,-0.19761032237929516,-0.2122452920946874,False,False
20231,2023-S1,country_ar1,Country AR(1),12,0.32301268861915355,0.39938003124962107,1,baseline,-0.050433503541953695,-0.06506847325734594,False,False
20231,2023-S1,momentum,Last-change extrapolation,12,0.4122463985787243,0.6452684220688965,1,baseline,-0.13966721350152445,-0.1543021832169167,False,False
20231,2023-S1,pooled_lag_ols,Pooled lag OLS,12,0.2579442153618076,0.3005722148181183,20,baseline,0.014634969715392243,0.0,True,False
20231,2023-S1,elastic_net,Elastic Net,12,0.2577110841112936,0.30906738893770724,178,machine learning,0.014868100965906239,0.00023313125051399597,True,True
20231,2023-S1,ridge,Ridge,12,0.2612076396175092,0.3352851401903042,178,machine learning,0.011371545459690657,-0.003263424255701586,True,False
20231,2023-S1,random_forest,Random Forest,12,0.3136567502267839,0.3683745539429253,178,machine learning,-0.04107756514958405,-0.05571253486497629,False,False
20231,2023-S1,gradient_boosting,Gradient Boosting,12,0.2710480161365451,0.3386502943323015,178,machine learning,0.001531168940654748,-0.013103800774737495,True,False
20232,2023-S2,naive,Naive current value,12,0.5276859188357319,0.6176942147393809,1,baseline,0.0,-0.06636800780554059,False,False
20232,2023-S2,country_mean,Country historical mean,12,0.6602735586027647,0.7910414720608311,1,baseline,-0.1325876397670328,-0.1989556475725734,False,False
