REF_AREA,country_name,TIME_PERIOD,FIRM_SIZE,firm_size_label,FIRM_SECTOR,sector_label,FIRM_AGE,SAFE_ITEM,problem,severity_score_1_10,top_box_share_8_10,high_pressure_share_7_10
FR,France,2016-S2,ALL,All,I,Industry,0,P5,Skilled staff,6.010875780964547,31.125291808155055,46.64751738298205
FR,France,2016-S2,ALL,All,I,Industry,0,P6,Regulation,6.151333008170626,32.52865248295229,44.86056704320294
FR,France,2016-S2,ALL,All,S,Services,0,N8,Other,8.022738917959918,68.10514888138806,79.03703096642039
FR,France,2016-S2,ALL,All,S,Services,0,P1,Finding customers,6.045767194152152,38.85568846855365,50.57377564532924
FR,France,2016-S2,ALL,All,S,Services,0,P2,Competition,5.716084129967131,28.92468564308671,44.46436043778457
FR,France,2016-S2,ALL,All,S,Services,0,P3,Access to finance,4.155698820518345,20.409459534477445,26.951089022896767
FR,France,2016-S2,ALL,All,S,Services,0,P4,Production/labour costs,5.946651265150548,31.816916130489165,45.111969739503635
FR,France,2016-S2,ALL,All,S,Services,0,P5,Skilled staff,5.700728983245389,30.010476126900308,45.26980281238727
FR,France,2016-S2,ALL,All,S,Services,0,P6,Regulation,5.730723700813617,31.10609984594314,44.24663460192097
FR,France,2016-S2,ALL,All,T,Trade,0,N8,Other,8.492505333502406,82.99740388016471,84.73300008675979
FR,France,2016-S2,ALL,All,T,Trade,0,P1,Finding customers,6.218253400586681,39.452391938084624,49.013531917313415
FR,France,2016-S2,ALL,All,T,Trade,0,P2,Competition,6.160875853840939,33.22751407663419,51.57589128248641
FR,France,2016-S2,ALL,All,T,Trade,0,P3,Access to finance,4.186887705556369,19.02736119417117,25.95301288087316
FR,France,2016-S2,ALL,All,T,Trade,0,P4,Production/labour costs,5.636175191084742,26.563644768780094,41.19281100472669
FR,France,2016-S2,ALL,All,T,Trade,0,P5,Skilled staff,5.66042475669801,28.70169774146443,40.35172529268124
FR,France,2016-S2,ALL,All,T,Trade,0,P6,Regulation,5.773295324866224,31.263487541403943,44.192909401540945
FR,France,2016-S2,LAR,Large,A,All,0,N8,Other,7.476938404033165,51.51305860741303,68.14387775151401
FR,France,2016-S2,LAR,Large,A,All,0,P1,Finding customers,6.075728599849065,40.63506387834701,52.64694189633473
FR,France,2016-S2,LAR,Large,A,All,0,P2,Competition,6.211976425420009,34.500455963305136,56.057000027071794
FR,France,2016-S2,LAR,Large,A,All,0,P3,Access to finance,3.6782997849782344,13.646898256783516,21.751024786530127
FR,France,2016-S2,LAR,Large,A,All,0,P4,Production/labour costs,5.730083962808738,26.565498702799058,42.46940150758848
FR,France,2016-S2,LAR,Large,A,All,0,P5,Skilled staff,5.627483688558747,22.108435887238382,38.84194887021539
FR,France,2016-S2,LAR,Large,A,All,0,P6,Regulation,5.476080840381308,21.56063643423043,36.70263631481112
FR,France,2016-S2,MED,Medium,A,All,0,N8,Other,7.487783958584511,55.422306682838126,69.99575054523459
FR,France,2016-S2,MED,Medium,A,All,0,P1,Finding customers,6.2307253080299425,36.78427790857531,53.36769517963875
FR,France,2016-S2,MED,Medium,A,All,0,P2,Competition,6.24519359029922,35.95770109917435,51.9261255528359
FR,France,2016-S2,MED,Medium,A,All,0,P3,Access to finance,4.169654267036243,17.126918366911042,22.66819080344818
FR,France,2016-S2,MED,Medium,A,All,0,P4,Production/labour costs,6.33826274073781,31.876759580547585,49.797820319754265
FR,France,2016-S2,MED,Medium,A,All,0,P5,Skilled staff,6.136328680210069,32.21046306187741,50.106077742074596
FR,France,2016-S2,MED,Medium,A,All,0,P6,Regulation,5.744365709484702,28.744515505002315,40.467568895213795
FR,France,2016-S2,MIC,Micro,A,All,0,N8,Other,8.409306876820338,78.92819196066921,85.45025806375298
FR,France,2016-S2,MIC,Micro,A,All,0,P1,Finding customers,6.003473219626384,36.1530441747897,44.15840581632576
FR,France,2016-S2,MIC,Micro,A,All,0,P2,Competition,5.755419016868033,30.408766108111113,43.01618171236316
FR,France,2016-S2,MIC,Micro,A,All,0,P3,Access to finance,4.57613578172989,26.020408610927408,31.513667159858993
FR,France,2016-S2,MIC,Micro,A,All,0,P4,Production/labour costs,6.025966164545878,34.187497781290865,46.411580639409344
FR,France,2016-S2,MIC,Micro,A,All,0,P5,Skilled staff,5.471826171490206,32.00991374023543,42.7850695378296
FR,France,2016-S2,MIC,Micro,A,All,0,P6,Regulation,6.1442053661953535,39.65170104643166,50.89911464591741
FR,France,2016-S2,SME,SME,A,All,0,N8,Other,8.159121300465369,72.46203108385484,81.9452472935066
FR,France,2016-S2,SME,SME,A,All,0,P1,Finding customers,5.9763972781205625,35.64382523562147,46.59233049712648
FR,France,2016-S2,SME,SME,A,All,0,P2,Competition,5.87548557908885,31.714201680530735,45.567808623578635
FR,France,2016-S2,SME,SME,A,All,0,P3,Access to finance,4.4606341243386485,22.600713459767007,28.824486398031805
FR,France,2016-S2,SME,SME,A,All,0,P4,Production/labour costs,6.169445234170966,34.29285486183293,48.19545722791615
FR,France,2016-S2,SME,SME,A,All,0,P5,Skilled staff,5.833421683787653,34.248110618654124,47.47186267708716
FR,France,2016-S2,SME,SME,A,All,0,P6,Regulation,6.0749625310310105,37.05193123191978,48.9235427478742
FR,France,2016-S2,SML,Small,A,All,0,N8,Other,8.011644139592592,68.54058300420643,80.77687020929363
FR,France,2016-S2,SML,Small,A,All,0,P1,Finding customers,5.722563719800711,33.87702531486594,44.944256438812324
FR,France,2016-S2,SML,Small,A,All,0,P2,Competition,5.769945345602966,30.385732704787298,44.536675672663115
FR,France,2016-S2,SML,Small,A,All,0,P3,Access to finance,4.51653345227015,21.70011319123238,29.622800601473358
FR,France,2016-S2,SML,Small,A,All,0,P4,Production/labour costs,6.260500720534968,36.44336106223102,49.734883049664106
FR,France,2016-S2,SML,Small,A,All,0,P5,Skilled staff,6.1679883346314375,39.557361431663914,52.87759082054346
FR,France,2016-S2,SML,Small,A,All,0,P6,Regulation,6.235134916060189,39.702795935059335,52.69363522898014
FR,France,2017-S1,ALL,All,A,All,0,N8,Other,8.074240313803829,70.35580973931846,81.35339664519496
FR,France,2017-S1,ALL,All,A,All,0,P1,Finding customers,6.1926016070187355,40.246438451802085,52.234830722434744
