REF_AREA,country_name,TIME_PERIOD,FIRM_SIZE,firm_size_label,FIRM_SECTOR,sector_label,FIRM_AGE,SAFE_ITEM,problem,severity_score_1_10,top_box_share_8_10,high_pressure_share_7_10
U2,Euro area,2015-S1,MED,Medium,A,All,1,P3,Access to finance,4.423381697101468,21.483478751857405,28.188450486471524
U2,Euro area,2015-S1,MED,Medium,A,All,2,P3,Access to finance,4.553207901856301,21.92915633444786,28.25883567445201
U2,Euro area,2015-S1,MED,Medium,A,All,3,P3,Access to finance,3.825342832442419,16.946743580220847,22.475528784793703
U2,Euro area,2015-S1,MED,Medium,A,All,4,P3,Access to finance,5.547528211901128,42.30186169207447,45.057450802298035
U2,Euro area,2015-S1,MED,Medium,A,All,9,P3,Access to finance,7.8152832,45.38208,45.38208
U2,Euro area,2015-S1,MED,Medium,C,Construction,0,P3,Access to finance,4.71530301130053,24.794516146829384,32.96651551888402
U2,Euro area,2015-S1,MED,Medium,I,Industry,0,P3,Access to finance,4.721534549529045,23.41802014650449,31.1376622216613
U2,Euro area,2015-S1,MED,Medium,S,Services,0,P3,Access to finance,4.170206496179828,19.171946241219796,24.919343203306035
U2,Euro area,2015-S1,MED,Medium,T,Trade,0,P3,Access to finance,4.330381811446109,22.08411038423343,27.678599907531222
U2,Euro area,2015-S1,MIC,Micro,A,All,0,P3,Access to finance,4.94925323644001,29.542209980133517,35.237565604681194
U2,Euro area,2015-S1,MIC,Micro,A,All,1,P3,Access to finance,4.912439910453998,29.018346879278678,35.12820409272324
U2,Euro area,2015-S1,MIC,Micro,A,All,2,P3,Access to finance,4.914957074153657,29.48238808084392,34.606812811453295
U2,Euro area,2015-S1,MIC,Micro,A,All,3,P3,Access to finance,5.252004627456296,34.3364072423666,37.07180616592588
U2,Euro area,2015-S1,MIC,Micro,A,All,4,P3,Access to finance,5.7015387814575,34.451754763210715,40.4361794486214
U2,Euro area,2015-S1,MIC,Micro,A,All,9,P3,Access to finance,3.4028837,15.81277,15.81277
U2,Euro area,2015-S1,MIC,Micro,C,Construction,0,P3,Access to finance,5.219171074129173,33.042448850009855,39.15780823203634
U2,Euro area,2015-S1,MIC,Micro,I,Industry,0,P3,Access to finance,4.9048570454177725,29.284272494655628,35.01152196841917
U2,Euro area,2015-S1,MIC,Micro,S,Services,0,P3,Access to finance,4.822429531279975,27.684633629466543,33.250863745991694
U2,Euro area,2015-S1,MIC,Micro,T,Trade,0,P3,Access to finance,5.071250078817016,31.39808587352549,37.13743268360988
U2,Euro area,2015-S1,SME,SME,A,All,0,P3,Access to finance,4.804738200696082,26.619010110693885,33.15257840371573
U2,Euro area,2015-S1,SME,SME,A,All,1,P3,Access to finance,4.775168097204439,26.00105226884399,32.89019613862996
U2,Euro area,2015-S1,SME,SME,A,All,2,P3,Access to finance,4.825070345706903,27.59240158168651,33.0037223100145
U2,Euro area,2015-S1,SME,SME,A,All,3,P3,Access to finance,5.016960329150053,31.59112411831678,35.76325861551821
U2,Euro area,2015-S1,SME,SME,A,All,4,P3,Access to finance,5.445369179281189,32.58798669912338,39.0752237218279
U2,Euro area,2015-S1,SME,SME,A,All,9,P3,Access to finance,5.1533348134454995,37.9341457405189,37.9341457405189
U2,Euro area,2015-S1,SME,SME,C,Construction,0,P3,Access to finance,5.122077059961863,29.823867535596882,37.12221396385862
U2,Euro area,2015-S1,SME,SME,I,Industry,0,P3,Access to finance,4.943736903061435,27.090454807140148,34.379389613762946
U2,Euro area,2015-S1,SME,SME,S,Services,0,P3,Access to finance,4.650140997370385,25.015208001172844,31.264370097785775
U2,Euro area,2015-S1,SME,SME,T,Trade,0,P3,Access to finance,4.84740207596194,27.7698032346761,33.95917602778467
U2,Euro area,2015-S1,SML,Small,A,All,0,P3,Access to finance,4.888871360310649,26.286324499273423,34.020588514061316
U2,Euro area,2015-S1,SML,Small,A,All,1,P3,Access to finance,4.893777090696735,25.866568036815842,33.94250340808717
U2,Euro area,2015-S1,SML,Small,A,All,2,P3,Access to finance,4.787044898394013,26.760941760509965,32.263169978519485
U2,Euro area,2015-S1,SML,Small,A,All,3,P3,Access to finance,5.067178351034266,32.53038376006673,39.27344839036491
U2,Euro area,2015-S1,SML,Small,A,All,4,P3,Access to finance,4.293036506373285,15.217343369560904,27.503894475350503
U2,Euro area,2015-S1,SML,Small,A,All,9,P3,Access to finance,6.576312454223525,66.2874245358044,66.2874245358044
U2,Euro area,2015-S1,SML,Small,C,Construction,0,P3,Access to finance,5.208779799754517,27.92079857586814,36.469444790432966
U2,Euro area,2015-S1,SML,Small,I,Industry,0,P3,Access to finance,5.302242651600092,31.08440931123575,38.79305574074706
U2,Euro area,2015-S1,SML,Small,S,Services,0,P3,Access to finance,4.697736955678948,24.61607006030838,32.3921175392995
U2,Euro area,2015-S1,SML,Small,T,Trade,0,P3,Access to finance,4.770599031090953,24.93998413745538,32.245069216625126
U2,Euro area,2015-S2,ALL,All,A,All,0,P3,Access to finance,4.597075167342127,22.89711593694322,30.35434413249002
U2,Euro area,2015-S2,ALL,All,A,All,1,P3,Access to finance,4.531982541082795,21.762708194468207,29.27229246841444
U2,Euro area,2015-S2,ALL,All,A,All,2,P3,Access to finance,4.9450856056074075,28.94334278592161,36.67163002078655
U2,Euro area,2015-S2,ALL,All,A,All,3,P3,Access to finance,4.887204349513434,27.881778695666902,32.76484040052494
U2,Euro area,2015-S2,ALL,All,A,All,4,P3,Access to finance,5.796272346298213,46.20966530322678,56.08512751318979
U2,Euro area,2015-S2,ALL,All,A,All,9,P3,Access to finance,5.806382603872349,25.764159484716814,25.764159484716814
U2,Euro area,2015-S2,ALL,All,C,Construction,0,P3,Access to finance,4.752199039202624,26.152526161746508,34.35106044515757
U2,Euro area,2015-S2,ALL,All,I,Industry,0,P3,Access to finance,4.504454656796882,20.177216843154746,28.030226300763434
U2,Euro area,2015-S2,ALL,All,S,Services,0,P3,Access to finance,4.577473399998591,23.448224378541504,30.668998083132205
