REF_AREA,country_name,TIME_PERIOD,period_sort,year,country_name_wb,domestic_credit_private_pct_gdp,gdp_growth_pct,inflation_cpi_pct,unemployment_pct,domestic_credit_private_pct_gdp_change,macro_gdp_slowdown_z,macro_unemployment_z,macro_inflation_z,macro_credit_contraction_z,macro_stress_context_z
FI,Finland,2012-S2,20122,2012,Finland,92.0754773478126,-1.52284013040689,2.80833622561573,7.689,2.5416937349517923,0.6683341487330766,-0.29235640929377815,0.33939125002901793,-0.7602601065970409,-0.011222779282181128
FI,Finland,2013-S1,20131,2013,Finland,93.313414939778,-0.979741024949618,1.47828615688809,8.193,1.2379375919654052,0.5351555506732272,-0.19527521049670865,-0.211194827877991,-0.5608495305645251,-0.1080410045664994
FI,Finland,2013-S2,20132,2013,Finland,93.313414939778,-0.979741024949618,1.47828615688809,8.193,1.2379375919654052,0.5351555506732272,-0.19527521049670865,-0.211194827877991,-0.5608495305645251,-0.1080410045664994
FI,Finland,2014-S1,20141,2014,Finland,93.3662043671516,-0.4780684247837,1.04119621178439,8.663,0.05278942737359671,0.41213554768706356,-0.10474314018991746,-0.39213210552307504,-0.3795801425302025,-0.11607996013903285
FI,Finland,2014-S2,20142,2014,Finland,93.3662043671516,-0.4780684247837,1.04119621178439,8.663,0.05278942737359671,0.41213554768706356,-0.10474314018991746,-0.39213210552307504,-0.3795801425302025,-0.11607996013903285
FI,Finland,2015-S1,20151,2015,Finland,94.9850612773084,0.466503766322674,-0.207928839905268,9.376,1.6188569101568078,0.18050784122647148,0.032595936679746286,-0.9092185515116225,-0.6191114540623259,-0.32880655691693267
FI,Finland,2015-S2,20152,2015,Finland,94.9850612773084,0.466503766322674,-0.207928839905268,9.376,1.6188569101568078,0.18050784122647148,0.032595936679746286,-0.9092185515116225,-0.6191114540623259,-0.32880655691693267
FI,Finland,2016-S1,20161,2016,Finland,94.7843702628907,2.57193414898754,0.356684500891695,8.818,-0.20069101441769988,-0.33578515918241886,-0.074886819131295,-0.675491827869739,-0.34081010015494917,-0.3567434765846005
FI,Finland,2016-S2,20162,2016,Finland,94.7843702628907,2.57193414898754,0.356684500891695,8.818,-0.20069101441769988,-0.33578515918241886,-0.074886819131295,-0.675491827869739,-0.34081010015494917,-0.3567434765846005
FI,Finland,2017-S1,20171,2017,Finland,94.0317570514361,3.30337003591039,0.754015047084346,8.64,-0.7526132114546016,-0.5151476457198076,-0.10917343299216463,-0.5110133076963314,-0.256393145474944,-0.3479318829708119
FI,Finland,2017-S2,20172,2017,Finland,94.0317570514361,3.30337003591039,0.754015047084346,8.64,-0.7526132114546016,-0.5151476457198076,-0.10917343299216463,-0.5110133076963314,-0.256393145474944,-0.3479318829708119
FI,Finland,2018-S1,20181,2018,Finland,94.8815247622949,1.19297759742292,1.08382098409305,7.361,0.8497677108587993,0.002362148514203759,-0.3555362370823473,-0.37448720120037154,-0.5014786274962283,-0.3072849793161858
FI,Finland,2018-S2,20182,2018,Finland,94.8815247622949,1.19297759742292,1.08382098409305,7.361,0.8497677108587993,0.002362148514203759,-0.3555362370823473,-0.37448720120037154,-0.5014786274962283,-0.3072849793161858
FI,Finland,2019-S1,20191,2019,Finland,95.9193855390369,1.34973845741737,1.0240939296343,6.695,1.0378607767419936,-0.036078702068931136,-0.483822106921332,-0.3992117476160114,-0.5302476168638062,-0.3623400433675202
FI,Finland,2019-S2,20192,2019,Finland,95.9193855390369,1.34973845741737,1.0240939296343,6.695,1.0378607767419936,-0.036078702068931136,-0.483822106921332,-0.3992117476160114,-0.5302476168638062,-0.3623400433675202
FI,Finland,2020-S1,20201,2020,Finland,101.738251257472,-2.49103605535707,0.290554555653239,7.759,5.818865718435106,0.9057548600479266,-0.27887290946085175,-0.7028669079792252,-1.2615062610252106,-0.33437280460434027
FI,Finland,2020-S2,20202,2020,Finland,101.738251257472,-2.49103605535707,0.290554555653239,7.759,5.818865718435106,0.9057548600479266,-0.27887290946085175,-0.7028669079792252,-1.2615062610252106,-0.33437280460434027
FI,Finland,2021-S1,20211,2021,Finland,100.140293611616,2.67634641498897,2.19457432340007,7.617,-1.597957645855999,-0.36138910341026764,-0.3062251519790738,0.08531904142942993,-0.1270970178849059,-0.17734805796120434
FI,Finland,2021-S2,20212,2021,Finland,100.140293611616,2.67634641498897,2.19457432340007,7.617,-1.597957645855999,-0.36138910341026764,-0.3062251519790738,0.08531904142942993,-0.1270970178849059,-0.17734805796120434
FI,Finland,2022-S1,20221,2022,Finland,96.1977943524903,0.763041912763526,7.12350773301402,6.719,-3.9424992591256967,0.10779084681896353,-0.4791991926929001,2.1256949476238924,0.23150255316938417,0.496447288729835
FI,Finland,2022-S2,20222,2022,Finland,96.1977943524903,0.763041912763526,7.12350773301402,6.719,-3.9424992591256967,0.10779084681896353,-0.4791991926929001,2.1256949476238924,0.23150255316938417,0.496447288729835
FI,Finland,2023-S1,20231,2023,Finland,93.2665806602944,-0.939093459613758,6.25064322154762,7.149,-2.931213692195911,0.5251879670193781,-0.39637197943349556,1.7643649050847838,0.07682559266593257,0.4925016213341497
FI,Finland,2023-S2,20232,2023,Finland,93.2665806602944,-0.939093459613758,6.25064322154762,7.149,-2.931213692195911,0.5251879670193781,-0.39637197943349556,1.7643649050847838,0.07682559266593257,0.4925016213341497
FI,Finland,2024-S1,20241,2024,Finland,92.0344393994847,0.416171964862073,1.56568906231615,8.4,-1.2321412608096978,0.19285019032812525,-0.15540257527648352,-0.1750136163365727,-0.18304893531719613,-0.08015373415053177
FI,Finland,2024-S2,20242,2024,Finland,92.0344393994847,0.416171964862073,1.56568906231615,8.4,-1.2321412608096978,0.19285019032812525,-0.15540257527648352,-0.1750136163365727,-0.18304893531719613,-0.08015373415053177
FI,Finland,2025-S1,20251,2025,Finland,,,,9.461,,,0.04896875790544271,,,
