REF_AREA,country_name,model_key,model_label,model_family,n_origins,mean_abs_error,rmse,bias,direction_hit_share,mean_predicted_delta,mean_actual_delta
SK,Slovakia,country_mean,Country historical mean,baseline,22,0.45237363849768575,0.6042613112452476,-0.17172698692672053,0.6363636363636364,-0.17427418003613337,-0.0025471931094128357
NL,Netherlands,country_ar1,Country AR(1),baseline,24,0.4543869544671331,0.5774566930975902,0.26162268180788567,0.5833333333333334,0.174288523284695,-0.08733415852319065
BE,Belgium,country_mean,Country historical mean,baseline,24,0.45623711870906697,0.5060610060520959,0.27435822370155566,0.5833333333333334,0.23210650367798735,-0.04225172002356828
GR,Greece,pooled_lag_ols,Pooled lag OLS,baseline,24,0.4888576263017736,0.5696153996844349,0.20232631448456595,0.4583333333333333,0.11051560140530921,-0.09181071307925674
FR,France,country_mean,Country historical mean,baseline,24,0.49300496721469383,0.5505503362215672,0.34526450202710973,0.5,0.31340531118840614,-0.03185919083870367
GR,Greece,naive,Naive current value,baseline,24,0.49870598687034523,0.5835777095692896,0.09181071307925674,0.0,0.0,-0.09181071307925674
FI,Finland,country_mean,Country historical mean,baseline,24,0.5181776399279783,0.5811062516100569,-0.19459162161741095,0.6666666666666666,-0.1885794547420997,0.006012166875311243
GR,Greece,country_ar1,Country AR(1),baseline,24,0.5511551837654427,0.6257649501856556,0.22607688517423438,0.375,0.13426617209497763,-0.09181071307925674
FI,Finland,momentum,Last-change extrapolation,baseline,24,0.5752797961192876,0.7628969870140785,0.0005824002532545612,0.4166666666666667,0.00659456712856583,0.006012166875311243
IE,Ireland,country_ar1,Country AR(1),baseline,24,0.5987936734214634,0.7721995948579985,0.4159617633000429,0.5,0.38718152784905974,-0.02878023545098318
NL,Netherlands,momentum,Last-change extrapolation,baseline,24,0.6033188295178835,0.7477379351504165,0.004280212822419138,0.4166666666666667,-0.0830539457007715,-0.08733415852319065
GR,Greece,momentum,Last-change extrapolation,baseline,24,0.6411146223029928,0.8080111457012976,-0.03820893668103998,0.5416666666666666,-0.1300196497602967,-0.09181071307925674
SK,Slovakia,momentum,Last-change extrapolation,baseline,22,0.7146203203203737,0.8545468218278512,0.018972826592717342,0.2727272727272727,0.01642563348330449,-0.0025471931094128357
IE,Ireland,momentum,Last-change extrapolation,baseline,24,0.7695732076720448,0.9286034533339851,-0.062292625264802746,0.2916666666666667,-0.09107286071578595,-0.02878023545098318
NL,Netherlands,country_mean,Country historical mean,baseline,24,0.8143526033559035,0.9725200722683087,0.8080957444514988,0.5833333333333334,0.7207615859283081,-0.08733415852319065
IT,Italy,country_mean,Country historical mean,baseline,24,0.8952123742749669,0.9973433874840906,0.8952123742749669,0.4166666666666667,0.8059503146984,-0.08926205957656702
