REF_AREA,country_name,TIME_PERIOD,period_sort,access_finance_main_problem,bank_loan_cost_too_high,bank_loan_limited_amount,bank_loan_rejected,bank_willingness_deteriorated,interest_rates_increased,z_access_finance_main_problem,z_bank_loan_rejected,z_bank_loan_cost_too_high,z_bank_loan_limited_amount,z_bank_willingness_deteriorated,z_interest_rates_increased,components_available,SME_FPI_equal_raw,SME_FPI_equal_z,fbz_access_finance_main_problem,fbz_bank_loan_rejected,fbz_bank_loan_cost_too_high,fbz_bank_loan_limited_amount,fbz_bank_willingness_deteriorated,fbz_interest_rates_increased,SME_FPI_fixed_baseline_raw,SME_FPI_fixed_baseline_z,SME_FPI_pca_weighted_raw,SME_FPI_pca_weighted_z,SME_FPI_reliability_weighted_raw,SME_FPI_reliability_weighted_z,PC1,PC2,SME_FPI_pca_z,cluster,cluster_name,CISS_mean,CISS_max,CISS_z,Hidden_SME_Stress,Relative_Gap_equal,Relative_Gap_fixed_baseline,Relative_Gap_pca_weighted,Relative_Gap_reliability_weighted
GR,Greece,2009-S1,20091,30.1025,6.887612,,12.37183,32.3392,41.47635,2.911782518807548,0.4238521351076058,1.8024386478130117,,1.0163631321415114,0.3452597614456225,5,1.2999392390630597,1.8659367480430362,4.232917920600415,0.9326957984051741,3.162097146994206,,3.177447753288835,4.007992427002275,3.102630209258181,4.716861153718671,1.3746657991195539,1.852221312923293,1.4072020655036634,1.8684304062467725,2.714633482142374,0.6261927497807805,1.5783777692019232,1,Bank Loan Cost Too High driven stress,0.7425331086962532,0.9090082718714998,3.3562980746141426,-1.4903613265711064,-1.4903613265711064,1.3605630791045287,-1.5040767616908497,-1.4878676683673702
GR,Greece,2009-S2,20092,32.37893,3.1586,,25.8377,9.876547,57.78281,3.2544935913103594,2.395576885300798,0.34232017942813026,,-0.7175450057371426,1.0706141574435062,5,1.26909196154913,1.8214886593948674,4.696509900628074,3.600718293221577,0.9166907962905827,,-0.28716221910558926,6.652748195892013,3.1159009933853317,4.737036437883042,1.3775220066824883,1.8560845069660155,1.3640661809434858,1.810944361818918,2.72027380336609,-0.3492463190841585,1.5816572386733025,3,Broad SME financing pain,0.3626143295814082,0.6250423024336809,1.1327555316474174,0.68873312774745,0.68873312774745,3.6042809062356245,0.7233289753185981,0.6781888301715007
GR,Greece,2010-S1,20101,33.27137,0.0,12.56154,13.06925,59.88694,72.58605,3.388848291232786,0.5259710680305983,-0.8944498267398536,1.3034580993630458,3.1427927469410335,1.7291013587742496,6,1.5326202896003098,2.2012087329486247,4.878254134650595,1.0708771597531492,-0.9852447564328908,2.300651387157569,7.426374837766739,9.053695696959647,3.9574347433091344,6.016401875218819,1.8605983721648507,2.5094746042158924,1.9457146665861025,2.586091806411115,4.391011215332981,-1.1051952808104624,2.5530792765173755,3,Broad SME financing pain,0.2990994728377089,0.620198322154093,0.7610234829998275,1.4401852499487973,1.4401852499487973,5.255378392218992,1.748451121216065,1.8250683234112874
GR,Greece,2010-S2,20102,29.44826,2.651478,11.24182,24.48672,55.87164,75.71288,2.8132882571459814,2.197761170236268,0.1437533209883404,1.0222906473754876,2.832848888304915,1.8681910131834876,6,1.8130222162057468,2.6052421094839686,4.099682803766911,3.333045648970067,0.6113297624881914,1.8761311258350275,6.80706026160535,9.560838368075112,4.381347995123442,6.660867962109512,2.0430781783150245,2.75628961485618,2.0917693220551383,2.780734955584856,4.821663465364192,-0.3666649831363359,2.80347475059427,3,Broad SME financing pain,0.35414514908524847,0.5197611348289679,1.0831881394244005,1.522053970059568,1.522053970059568,5.577679822685111,1.6731014754317795,1.6975468161604554
GR,Greece,2011-S1,20111,31.52797,3.73431,27.20639,21.11843,62.47178,78.5426,3.1263836058256342,1.7045631251914084,0.5677431073870266,4.423555664937553,3.3423183822751263,1.9940644303103887,6,2.5264380526545227,3.633208688614443,4.523213014132845,2.6656789293251326,1.2633517590773966,7.011526079538845,7.825057150182997,10.019792567474777,5.551436583288665,8.439728166415218,2.7439818001692684,3.7043042940443214,2.786871453714313,3.7070790523822774,6.475795657712907,-0.6881014665688215,3.765241964068697,3,Broad SME financing pain,0.24144550683157065,0.3489826909138579,0.4235933446842546,3.2096153439301887,3.2096153439301887,8.016134821730963,3.280710949360067,3.2834857076980226
GR,Greece,2011-S2,20112,36.68414,4.010295,17.24769,33.83744,54.11898,79.35793,3.9026326232374697,3.5669297465054948,0.6758067970445557,2.301846284077602,2.6975598181788536,2.0303324614887654,6,2.5291846217554568,3.6371662419778317,5.5732602634043875,5.1857244066537245,1.4295347779839973,3.8080663104720793,6.53673229481457,10.152031491253995,5.447558257430459,8.281804209350721,2.78092544099753,3.75427280999405,2.81686286831044,3.747047811792368,6.562982631344074,-0.6639240639843559,3.8159353566937755,3,Broad SME financing pain,0.5548684476228806,0.7150665629513893,2.257957111631798,1.3792091303460339,1.3792091303460339,6.023847097718923,1.496315698362252,1.48909070016057
GR,Greece,2012-S1,20121,29.34087,0.669002,9.873805,36.58778,69.65242,70.43794,2.7971209504086434,3.969645163292256,-0.6324978202602761,0.7308339051644435,3.8965970835121073,1.6335477541545458,6,2.0658745060452866,2.9695789942740523,4.0778129712945,5.730655331160893,-0.5824084717994743,1.4360755948942552,8.9325895931306,8.705292284158233,4.716669550473168,7.170650021767796,2.4468332349093442,3.302392828640759,2.512301970481759,3.3411676152441347,5.774525194298341,-1.4229964212809492,3.3575001024388365,3,Broad SME financing pain,0.3431146975047743,0.5303005312095004,1.018630450503462,1.9509485437705902,1.9509485437705902,6.152019571264334,2.283762378137297,2.3225371647406727
GR,Greece,2012-S2,20122,33.72656,2.594531,14.54003,28.32937,61.0885,37.54833,3.4573760531637725,2.760416840559082,0.12145535937837133,1.7249770519309116,3.2355420166799855,0.17053106039293509,6,1.91171639701751,2.7474513432096583,4.970952980382196,4.0943983606557035,0.5770394047597852,2.9370811539444888,7.611701867411467,3.3709042082647773,3.9270129959030697,5.970152355008605,2.283107915646325,3.080944399532221,2.3564642972180083,3.1334868988263302,5.3881335238157915,-1.792439081328896,3.132839194472306,3,Broad SME financing pain,0.19238336613745136,0.449002168491289,0.1364483992920814,2.611002943917577,2.611002943917577,5.833703955716524,2.94449600024014,2.997038499534249
GR,Greece,2013-S1,20131,31.86567,2.795186,8.385714,29.98585,58.41578,52.53564,3.1772235302617915,3.0029650468168296,0.20002310635096587,0.413794870524052,3.0292328617341715,0.8372061813378271,6,1.7767409328376063,2.5529641183812455,4.591985175655642,4.4226003930690165,0.6978628323326748,0.9573946775847334,7.19946505970144,5.801706147044798,3.945169047564717,5.9977546050389785,2.0948134613882234,2.826264724494785,2.158479734163536,2.8696381449680213,4.94375870719681,-1.053070732256296,2.8744649659222894,3,Broad SME financing pain,0.075273484937346,0.1617983147347727,-0.5489581069535545,3.1019222253347998,3.1019222253347998,6.546712711992533,3.3752228314483395,3.418596251921576
GR,Greece,2013-S2,20132,39.82526,0.577283,11.22999,25.99175,56.35488,30.65782,4.375520699769598,2.418133481923761,-0.6684109805831158,1.0197702559613901,2.8701505270983607,-0.13597701794947503,6,1.6465311610367532,2.3653438177810173,6.212945226396654,3.6312405591669976,-0.6376366193839245,1.8723257165880316,6.88159456185296,2.2533277340887503,3.3689661964515785,5.121765956128307,2.1130080427356255,2.850873999809112,2.2083226752052902,2.9360625049262357,4.986697909955423,-2.5361718404517615,2.8994312398252995,3,Broad SME financing pain,0.026063559427809305,0.1362835388874606,-0.8369679893858253,3.2023118071668426,3.2023118071668426,5.958733945514132,3.687841989194937,3.773030494312061
